model,mAP_0.5:0.95,mAP_0.5,mAP_0.75,mAP_small,mAP_medium,mAP_large,AR_max1,AR_max10,AR_max100,inference_time_ms,precision,recall,f1
DETR,0.5081705043083412,0.7622659694830914,0.5727264092232773,0.26098969235160946,0.48794605838488725,0.6639697098804478,0.61851184748241,0.7208350394658782,0.7259003989430024,121.97603285312653,0.4892840820540357,0.7259003989430024,0.58455570477344
YOLOv8,0.780421027511168,0.9628439200103782,0.896882608845819,0.7517600586714112,0.8309255018581784,0.802442819780957,,,,5270.178233786282,0.9419630133919777,0.9498466079373983,0.9458883843123067
