model,mAP_50-95,mAP_50,mAP_75,precision,recall,f1,mAP_small,mAP_medium,mAP_large
YOLOv8,0.7806748501418124,0.9628714307346493,0.8969094955596604,0.9419630216391737,0.949846630318826,0.9458883995679839,,,
Faster R-CNN,0.5620770365950446,0.9269121354330138,0.5918529363313503,,,,0.25427574066930503,0.562270913856136,0.629925340231865
DETR,0.5081705043083412,0.7622659694830914,0.5727264092232773,,,,0.26098969235160946,0.48794605838488725,0.6639697098804478
