epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3083.85,0.8802,0.54116,1.18065,0.95205,0.93201,0.96033,0.73678,0.88357,0.44395,1.18009,0.000373312,0.000373312,0.000373312
43,3159.7,0.88065,0.54816,1.17762,0.94604,0.91951,0.95987,0.74157,0.89004,0.44674,1.18497,0.000352037,0.000352037,0.000352037
44,3232.86,0.86063,0.52117,1.17112,0.94808,0.93357,0.96145,0.74109,0.88033,0.43724,1.19349,0.000331069,0.000331069,0.000331069
45,3305.6,0.86261,0.52818,1.17153,0.9443,0.93879,0.9638,0.74866,0.86129,0.4273,1.17775,0.000310453,0.000310453,0.000310453
46,3377.92,0.85654,0.52695,1.16621,0.94129,0.93684,0.96463,0.7532,0.87055,0.43048,1.18343,0.000290228,0.000290228,0.000290228
47,3451.58,0.84648,0.51391,1.15805,0.94683,0.93282,0.95984,0.75987,0.8269,0.42905,1.15571,0.000270435,0.000270435,0.000270435
48,3524.04,0.83181,0.4992,1.15231,0.94943,0.93154,0.95909,0.75417,0.83462,0.42949,1.1654,0.000251115,0.000251115,0.000251115
49,3597.96,0.82889,0.49169,1.14721,0.93179,0.9409,0.96299,0.75908,0.83744,0.41194,1.16483,0.000232306,0.000232306,0.000232306
50,3670.35,0.82407,0.49496,1.1441,0.93078,0.94143,0.95731,0.7474,0.86875,0.43534,1.17758,0.000214046,0.000214046,0.000214046
51,3743.17,0.83031,0.49424,1.14774,0.94745,0.93825,0.96111,0.76303,0.83346,0.42056,1.15735,0.000196373,0.000196373,0.000196373
52,3815.06,0.81588,0.48621,1.14627,0.95111,0.93739,0.9656,0.75448,0.8678,0.43005,1.18141,0.00017932,0.00017932,0.00017932
53,3887.3,0.8123,0.48108,1.13988,0.93712,0.94126,0.96125,0.7678,0.81151,0.4118,1.1541,0.000162924,0.000162924,0.000162924
54,3960.27,0.81488,0.47939,1.13939,0.94978,0.93737,0.96348,0.7613,0.82861,0.41423,1.15856,0.000147217,0.000147217,0.000147217
55,4032.24,0.80844,0.48435,1.13844,0.95138,0.93718,0.9619,0.75731,0.84484,0.41271,1.17232,0.00013223,0.00013223,0.00013223
56,4104.65,0.79577,0.47315,1.12948,0.94332,0.94333,0.96418,0.76472,0.82495,0.40821,1.1619,0.000117993,0.000117993,0.000117993
57,4178.45,0.80035,0.48079,1.13066,0.94069,0.94415,0.96231,0.77028,0.81505,0.40817,1.15041,0.000104537,0.000104537,0.000104537
58,4250.2,0.79502,0.46307,1.12833,0.94239,0.94307,0.96308,0.77338,0.81271,0.40401,1.15578,9.18862e-05,9.18862e-05,9.18862e-05
59,4323.57,0.7988,0.4846,1.12921,0.94165,0.93988,0.96187,0.76859,0.8193,0.40389,1.16314,8.00678e-05,8.00678e-05,8.00678e-05
60,4396.11,0.76803,0.44985,1.11498,0.93796,0.94438,0.96217,0.76407,0.83209,0.40723,1.16691,6.91052e-05,6.91052e-05,6.91052e-05
61,4469,0.67387,0.3185,1.02014,0.95205,0.9335,0.9619,0.76882,0.81759,0.4053,1.15159,5.90204e-05,5.90204e-05,5.90204e-05
62,4540.4,0.65765,0.31819,1.01888,0.93429,0.94999,0.96226,0.77089,0.81022,0.40372,1.1565,4.98338e-05,4.98338e-05,4.98338e-05
63,4613.98,0.66067,0.30428,1.01714,0.94141,0.93853,0.96186,0.77382,0.79621,0.40126,1.14813,4.15637e-05,4.15637e-05,4.15637e-05
64,4684.84,0.65273,0.30091,1.01126,0.93421,0.94497,0.96293,0.77729,0.79852,0.40067,1.15076,3.4227e-05,3.4227e-05,3.4227e-05
65,4758.14,0.65242,0.29985,1.00714,0.9359,0.94989,0.96361,0.776,0.80083,0.39926,1.15517,2.78384e-05,2.78384e-05,2.78384e-05
66,4829.75,0.64404,0.29949,1.0047,0.94093,0.94839,0.96344,0.77838,0.79414,0.40218,1.14814,2.24107e-05,2.24107e-05,2.24107e-05
67,4902.49,0.64039,0.29573,1.00455,0.93989,0.94825,0.96251,0.77846,0.7942,0.39929,1.15384,1.79549e-05,1.79549e-05,1.79549e-05
68,4974.03,0.64092,0.29583,1.00407,0.94108,0.94783,0.96308,0.77802,0.80004,0.39878,1.15496,1.44799e-05,1.44799e-05,1.44799e-05
69,5046.67,0.63522,0.29935,1.00105,0.94047,0.94767,0.96313,0.77929,0.79747,0.40101,1.15328,1.19927e-05,1.19927e-05,1.19927e-05
70,5118.76,0.63969,0.29574,1.00607,0.94194,0.94985,0.963,0.7812,0.79623,0.39702,1.15443,1.04984e-05,1.04984e-05,1.04984e-05
